Submission_id,Participant_id,Status,Custom study tncs accepted at,Started_time,Completed_time,Reviewed_time,Archieve_time,Time_taken,Custom_id_prolific,Total_Prolific_approvals,Age,Sex,Ethnicity ,Birth_country,Residency_country,Nationality,Language,Student_status,Employment_status 
6627d5e6126648f936518869,60bb608a2da16013513f577e,APPROVED,Not Applicable,2024-04-23T15:38:14.465000Z,2024-04-23T15:39:12.214000Z,2024-04-23T16:15:17.463000Z,2024-04-23T15:39:12.844834Z,58,34,96,34,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Austria,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6627d5e5f1ce3e4af8de0cf7,5f73444ebccd2c026fa7a5d0,APPROVED,Not Applicable,2024-04-23T15:38:16.707000Z,2024-04-23T15:39:14.996000Z,2024-04-23T16:13:53.160000Z,2024-04-23T15:39:15.622070Z,59,50,47,23,Female,Black,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
6627d5e1cc6b044781a1d909,5f983fad466c460c50a7889f,APPROVED,Not Applicable,2024-04-23T15:38:16.765000Z,2024-04-23T15:40:15.252000Z,2024-04-23T16:13:55.141000Z,2024-04-23T15:40:16.088772Z,119,51,265,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6627d5e477549c867612f7fe,5c44f027044844000161d953,APPROVED,Not Applicable,2024-04-23T15:38:19.013000Z,2024-04-23T15:39:40.751000Z,2024-04-23T16:15:16.348000Z,2024-04-23T15:39:41.235309Z,82,52,408,41,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6627d5e631133892c802697e,5f67e060c67dc442a020d8af,APPROVED,Not Applicable,2024-04-23T15:38:19.319000Z,2024-04-23T15:39:32.747000Z,2024-04-23T16:15:40.069000Z,2024-04-23T15:39:33.711150Z,74,53,96,34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5e708069e47d9f8d0e3,6547ad7f4510d0a39294fefd,APPROVED,Not Applicable,2024-04-23T15:38:20.078000Z,2024-04-23T15:39:25.738000Z,2024-04-23T16:13:58.027000Z,2024-04-23T15:39:26.517898Z,66,53,46,62,Male,White,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
6627d5e98fa3e7b7ec4c94a7,5ffc7d87e9d7980792e1d8b8,APPROVED,Not Applicable,2024-04-23T15:38:20.556000Z,2024-04-23T15:39:56.092000Z,2024-04-23T16:13:57.187000Z,2024-04-23T15:39:56.607755Z,96,54,31,32,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6627d5f41a228a32331f1d98,5c7017ac1e20530001e7ce63,APPROVED,Not Applicable,2024-04-23T15:38:30.476000Z,2024-04-23T15:39:16.268000Z,2024-04-23T16:14:36.731000Z,2024-04-23T15:39:16.908981Z,46,55,283,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5f3acdade48a414e559,616417e0bbf6f3d79b4116bb,APPROVED,Not Applicable,2024-04-23T15:38:30.932000Z,2024-04-23T15:39:03.915000Z,2024-04-23T16:13:59.205000Z,2024-04-23T15:39:04.490009Z,33,56,297,24,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
6627d5dc77549c867612f7fa,5f29a54ccd7baa0f974a42e3,APPROVED,Not Applicable,2024-04-23T15:38:37.981000Z,2024-04-23T15:39:55.133000Z,2024-04-23T16:14:34.376000Z,2024-04-23T15:39:56.166632Z,78,57,136,34,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d602d917151ef85ccfb4,60c86505e26bc5e0e2e725eb,APPROVED,Not Applicable,2024-04-23T15:38:45.715000Z,2024-04-23T15:39:25.985000Z,2024-04-23T16:14:34.975000Z,2024-04-23T15:39:26.614783Z,41,58,113,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5ff1c01b43d88405279,603e66c867d4bcef6f7af649,APPROVED,Not Applicable,2024-04-23T15:38:49.782000Z,2024-04-23T15:40:28.329000Z,2024-04-23T16:14:00.300000Z,2024-04-23T15:40:28.818407Z,99,59,284,24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6627d607daa23375cbe3e6eb,5ce686eb185715001508c6cb,APPROVED,Not Applicable,2024-04-23T15:38:51.445000Z,2024-04-23T15:39:47.748000Z,2024-04-23T16:15:18.840000Z,2024-04-23T15:39:48.236669Z,57,60,899,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6627d606f04b249f94112c0e,661fdfd33dfe00cbf53aca75,APPROVED,Not Applicable,2024-04-23T15:38:54.835000Z,2024-04-23T15:40:02.273000Z,2024-04-23T16:14:35.804000Z,2024-04-23T15:40:02.774713Z,68,61,2,32,Female,White,Iceland,Iceland,Iceland,Icelandic,No,Full-Time
6627d60fcc5c1584bffd9997,64b2a3437bd5a7cc14d73735,APPROVED,Not Applicable,2024-04-23T15:38:55.512000Z,2024-04-23T15:39:46.867000Z,2024-04-23T16:14:38.808000Z,2024-04-23T15:39:48.586622Z,52,62,90,22,Prefer not to say,White,Greece,Greece,Greece,Greek,Yes,Other
6627d602d248ba34be63456f,656f55d347936d01fbec6dfb,APPROVED,Not Applicable,2024-04-23T15:38:55.678000Z,2024-04-23T15:40:22.078000Z,2024-04-23T16:14:38.027000Z,2024-04-23T15:40:22.860098Z,87,63,17,18,Male,White,Ukraine,Latvia,Ukraine,Ukrainian,Yes,Unemployed (and job seeking)
6627d60c5339117911a784a2,60d64a858ac8cd7015ae3492,APPROVED,Not Applicable,2024-04-23T15:38:58.615000Z,2024-04-23T15:40:05.502000Z,2024-04-23T16:14:39.649000Z,2024-04-23T15:40:06.102967Z,67,64,321,25,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Other
6627d612024036002f2e798f,65a6abd90915ab28fec901ef,APPROVED,Not Applicable,2024-04-23T15:39:01.406000Z,2024-04-23T15:40:47.229000Z,2024-04-23T16:14:40.887000Z,2024-04-23T15:40:47.658458Z,106,65,53,43,Female,White,Spain,France,Spain,Spanish,No,Full-Time
6627d60d20392b15473a0947,656ddf2ded2ef48723faba32,APPROVED,Not Applicable,2024-04-23T15:39:02.102000Z,2024-04-23T15:39:43.133000Z,2024-04-23T16:15:40.712000Z,2024-04-23T15:39:43.604031Z,42,66,54,23,Male,White,Finland,Finland,Finland,Finnish,Yes,Other
6627d61024e5fbfacf71efef,655f66249277ff9f1250188c,APPROVED,Not Applicable,2024-04-23T15:39:02.995000Z,2024-04-23T15:39:37.295000Z,2024-04-23T16:15:21.308000Z,2024-04-23T15:39:37.723719Z,35,67,63,23,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6627d61431133892c8026985,5c74f0d525c76b0010706736,APPROVED,Not Applicable,2024-04-23T15:39:03.971000Z,2024-04-23T15:40:17.669000Z,2024-04-23T16:14:06.860000Z,2024-04-23T15:40:18.143955Z,74,70,531,26,Male,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time
6627d613cc5bdf1573c83344,6160ba8aa3c67e4797bf18ef,APPROVED,Not Applicable,2024-04-23T15:39:04.542000Z,2024-04-23T15:40:15.468000Z,2024-04-23T16:14:05.102000Z,2024-04-23T15:40:16.169078Z,71,69,252,27,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d6155b75796fe33eaa12,657c74965bdb3c4cddb565ce,APPROVED,Not Applicable,2024-04-23T15:39:06.528000Z,2024-04-23T15:40:26.985000Z,2024-04-23T16:15:20.244000Z,2024-04-23T15:40:27.692055Z,81,68,30,27,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d616cc5c1584bffd9999,6110db82f71fb953b12ea220,APPROVED,Not Applicable,2024-04-23T15:39:07.193000Z,2024-04-23T15:39:42.999000Z,2024-04-23T16:14:02.883000Z,2024-04-23T15:39:43.549437Z,36,71,92,23,Female,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,Other
6627d5d247e99ccffd71eff2,611c035fcf63d265705f5c3f,APPROVED,Not Applicable,2024-04-23T15:39:11.164000Z,2024-04-23T15:39:47.644000Z,2024-04-23T16:14:03.838000Z,2024-04-23T15:39:48.843412Z,37,72,268,21,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6627d61ca9106137eb5769a6,5dffce693f2915c096e0d1bd,APPROVED,Not Applicable,2024-04-23T15:39:12.088000Z,2024-04-23T15:40:23.579000Z,2024-04-23T16:14:01.563000Z,2024-04-23T15:40:24.048498Z,72,73,187,30,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d6249664935c4b7f0762,5d403ca7738a5b001995f974,APPROVED,Not Applicable,2024-04-23T15:39:16.214000Z,2024-04-23T15:43:07.779000Z,2024-04-23T16:14:42.666000Z,2024-04-23T15:43:08.334434Z,232,74,1162,39,Male,White,New Zealand,New Zealand,New Zealand,English,No,Unemployed (and job seeking)
6627d6241e8db60e45ab7c9e,60515183a9852fa5f9d4977e,APPROVED,Not Applicable,2024-04-23T15:39:19.272000Z,2024-04-23T15:41:11.698000Z,2024-04-23T16:14:41.836000Z,2024-04-23T15:41:12.489066Z,113,75,120,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6627d60a4aa1c7845b3ea9fc,5d38458be8f012001584ff5d,APPROVED,Not Applicable,2024-04-23T15:39:23.016000Z,2024-04-23T15:42:29.592000Z,2024-04-23T16:14:46.384000Z,2024-04-23T15:42:30.158623Z,187,76,292,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d62befa6c569a736db02,5f452661c5a1b50a817ab094,APPROVED,Not Applicable,2024-04-23T15:39:23.694000Z,2024-04-23T15:39:46.784000Z,2024-04-23T16:15:19.641000Z,2024-04-23T15:39:47.320111Z,24,80,490,24,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
6627d6287559289ed98f9e3f,60fced8dc349819a0afe6051,APPROVED,Not Applicable,2024-04-23T15:39:25.220000Z,2024-04-23T15:39:56.740000Z,2024-04-23T16:14:43.637000Z,2024-04-23T15:39:57.194088Z,32,77,269,29,Female,White,Luxembourg,Spain,Portugal,Portuguese,No,Full-Time
6627d625b121a86a5fa6c0ab,5d6dc0e5c8ee420001d15166,APPROVED,Not Applicable,2024-04-23T15:39:29.156000Z,2024-04-23T15:40:42.146000Z,2024-04-23T16:14:45.403000Z,2024-04-23T15:40:43.063231Z,73,79,244,44,Male,Asian,Canada,Canada,Canada,Japanese,No,Full-Time
6627d5d30d8e36fe2147d926,5ffa3ca8a1f5f24038661d33,APPROVED,Not Applicable,2024-04-23T15:39:29.589000Z,2024-04-23T16:16:00.193000Z,2024-04-23T16:16:00.437000Z,,2191,81,273,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6627d62d279ce80d485412c5,5e39cf6d0331aa07667a58ae,APPROVED,Not Applicable,2024-04-23T15:39:29.850000Z,2024-04-23T15:40:13.620000Z,2024-04-23T16:15:42.927000Z,2024-04-23T15:40:14.094063Z,44,78,351,25,Female,Black,Zimbabwe,South Africa,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
6627d62ebc02d244d3417da0,6137d45d71fa7f89d4194272,APPROVED,Not Applicable,2024-04-23T15:39:29.920000Z,2024-04-23T15:41:17.692000Z,2024-04-23T16:14:47.560000Z,2024-04-23T15:41:18.440302Z,108,82,93,21,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
6627d629901d500eaea08e0a,661fe4cd9256016117644fff,APPROVED,Not Applicable,2024-04-23T15:39:34.248000Z,2024-04-23T15:41:03.362000Z,2024-04-23T16:15:22.867000Z,2024-04-23T15:41:03.894787Z,90,83,1,26,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
6627d62d14f2309f06fd99b9,65f38f929d39bd794c5b38c2,APPROVED,Not Applicable,2024-04-23T15:39:34.295000Z,2024-04-23T15:42:34.049000Z,2024-04-23T16:14:49.295000Z,2024-04-23T15:42:34.566263Z,180,84,7,40,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d6352fff88e84b684ef0,612f4efe7a2e36e60e3254a7,APPROVED,Not Applicable,2024-04-23T15:39:36.966000Z,2024-04-23T15:40:38.218000Z,2024-04-23T16:14:48.167000Z,2024-04-23T15:40:39.315836Z,62,99,712,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6627d6398f4175bc4c148180,5fc27df5c1a18710354404bc,APPROVED,Not Applicable,2024-04-23T15:39:37.726000Z,2024-04-23T15:40:20.464000Z,2024-04-23T16:15:25.471000Z,2024-04-23T15:40:21.101752Z,43,85,232,26,Male,White,Poland,Poland,Poland,Polish,No,Due to start a new job within the next month
6627d637c1f1c476eab5aeff,5dcf055ff290e70579808e50,APPROVED,Not Applicable,2024-04-23T15:39:38.023000Z,2024-04-23T15:40:47.331000Z,2024-04-23T16:14:48.693000Z,2024-04-23T15:40:47.887185Z,70,86,237,23,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Unemployed (and job seeking)
6627d634f327f38e94964737,5fe09574e44df49ab248939f,APPROVED,Not Applicable,2024-04-23T15:39:38.925000Z,2024-04-23T15:40:22.300000Z,2024-04-23T16:15:23.656000Z,2024-04-23T15:40:22.838581Z,44,87,431,30,Female,Black,France,Canada,France,English,No,Unemployed (and job seeking)
6627d62c6327c40e85b60762,608427499fc9b6c212890542,APPROVED,Not Applicable,2024-04-23T15:39:40.028000Z,2024-04-23T15:40:58.763000Z,2024-04-23T16:14:50.923000Z,2024-04-23T15:40:59.264069Z,79,88,99,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
6627d641198ea457ad2e7ff1,65ae7a29d35ca1ff942173f6,APPROVED,Not Applicable,2024-04-23T15:39:45.012000Z,2024-04-23T15:40:50.432000Z,2024-04-23T16:14:50.149000Z,2024-04-23T15:40:50.946518Z,66,89,7,19,Male,White,Italy,Sweden,Italy,Slovenian,Yes,Other
6627d642b884b8613fde0d17,5fba6c2d012e37a154345985,APPROVED,Not Applicable,2024-04-23T15:39:46.452000Z,2024-04-23T15:43:28.148000Z,2024-04-23T16:14:55.540000Z,2024-04-23T15:43:28.701318Z,222,91,429,27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
6627d645b01ca9e7c599d58a,61672dbb8d62d7394a111f8d,APPROVED,Not Applicable,2024-04-23T15:39:49.782000Z,2024-04-23T15:41:28.556000Z,2024-04-23T16:14:51.669000Z,2024-04-23T15:41:29.057262Z,99,92,112,22,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6627d63f823866965c14e54e,5e83e235d276ef14000aebab,APPROVED,Not Applicable,2024-04-23T15:39:50.023000Z,2024-04-23T15:40:25.852000Z,2024-04-23T16:14:53.150000Z,2024-04-23T15:40:26.332611Z,36,90,797,25,Female,Asian,United States,Canada,Canada,Urdu,Yes,Full-Time
6627d643b990268021368e19,5be4663fd200510001a6cfb7,APPROVED,Not Applicable,2024-04-23T15:39:51.446000Z,2024-04-23T15:40:41.417000Z,2024-04-23T16:15:41.965000Z,2024-04-23T15:40:41.924121Z,50,94,246,30,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d641b561b9ee4be3e6c3,6151cac776c9ba6b61b3351b,APPROVED,Not Applicable,2024-04-23T15:39:51.557000Z,2024-04-23T15:41:04.998000Z,2024-04-23T16:15:02.789000Z,2024-04-23T15:41:05.483382Z,74,93,350,29,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d644ad82bab4d22a5d09,5bc1f0157870b900012dcb8a,APPROVED,Not Applicable,2024-04-23T15:39:54.700000Z,2024-04-23T15:41:09.266000Z,2024-04-23T16:14:56.405000Z,2024-04-23T15:41:09.831327Z,75,95,391,24,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6627d6460436b9a1a3eb6053,60f1d99a67bc1538a6dadc94,APPROVED,Not Applicable,2024-04-23T15:39:57.987000Z,2024-04-23T15:40:56.691000Z,2024-04-23T16:15:01.058000Z,2024-04-23T15:40:57.352580Z,59,96,496,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6627db1a5d40e29562f721b0,60d1b1e976a73fee93ac0e57,APPROVED,Not Applicable,2024-04-23T16:00:26.166000Z,2024-04-23T16:01:49.880000Z,2024-04-23T16:14:59.838000Z,2024-04-23T16:08:09.652721Z,84,97,579,41,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6627db1922d252867af71da9,65e33587ff8f62cfcb728ec6,APPROVED,Not Applicable,2024-04-23T16:00:29.395000Z,2024-04-23T16:02:17.235000Z,2024-04-23T16:14:59.032000Z,2024-04-23T16:08:30.462949Z,108,98,38,40,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
,,,,,,,,,,,,,,,,,,,